Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000576;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000142;1;BANCO ITAU S. A.                        ;656;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000223;1;BANCO ITAU S. A.                        ;1744;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000304;1;BANCO ITAU S. A.                        ;468;00001;Banco Itau;D;05/09/2007;24/09/2011
C07090000576;1;BANCO ITAU S. A.                        ;348;00001;Banco Itau;D;05/09/2007;24/09/2011
