Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
09/09/2008;09/09/2008;10/09/2008;;C08090000329;119;BIRD SOLUTION LTDA;SP;78;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
18/09/2008;18/09/2008;26/09/2008;;C08090000752;122;Tecnopop Comunicação Visual e Multimídia Ltda;Rj;20;10;Empresas;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
18/09/2008;18/09/2008;29/09/2008;;C08090000833;123;Dimex do Triângulo Ltda;MG;60;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
25/09/2008;25/09/2008;29/09/2008;;C08090001058;125;Taji Consultoria e Assessoria Ltda.;SP;50;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
25/09/2008;26/09/2008;09/10/2008;;C08090001210;126;DEPARTAMENTO ESTADUAL DE TRANSITO;BA;102;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
30/09/2008;30/09/2008;03/10/2008;;C08090001309;127;Buriti Imóveis e Administração Ltda.;SP;15;1;Usuário Final (consumo entre 1 a 15 cart./mês);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
30/09/2008;01/10/2008;06/10/2008;;C08090001481;128;Prefeitura Municipal da Estancia Turistica de Embu ;sp;75;3;Órgãos Públicos e Empresas Estatais;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
01/10/2008;01/10/2008;06/10/2008;;C08100000245;129;Sandria Projetos e Construções Ltda;SP;5;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
01/10/2008;01/10/2008;03/10/2008;;C08100000326;130;COMPANHIA DO METROPOLITANO DE SÃO PAULO;SP;131;3;Órgãos Públicos e Empresas Estatais;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
02/10/2008;02/10/2008;07/10/2008;;C08100000407;131;MARINHO PROCESSAMENTO DE DADOS;SP;32;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
02/10/2008;02/10/2008;09/10/2008;;C08100000598;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;150;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
02/10/2008;02/10/2008;07/10/2008;;C08100000679;133;AMC Comunicação S/C Ltda;SP;9;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
02/10/2008;03/10/2008;08/10/2008;;C08100000750;134;CD STUDIO;SP;54;10;Empresas;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
03/10/2008;03/10/2008;08/10/2008;;C08100000830;135;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;47;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
06/10/2008;06/10/2008;15/10/2008;;C08100000911;136;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;MG;108;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
07/10/2008;07/10/2008;09/10/2008;;C08100001055;137;KITANI LOCAÇÃO E COM. DE EQUIPS LTDA;SP;300;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
07/10/2008;07/10/2008;09/10/2008;;C08100001136;138;Pharmedic Pharmaceuticals Imp.Distr.Com.Rep.Ltda;SP;11;1;Usuário Final (consumo entre 1 a 15 cart./mês);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
07/10/2008;08/10/2008;09/10/2008;;C08100001306;140;Tribunal de Contas do Estado de São Paulo;SP;108;3;Órgãos Públicos e Empresas Estatais;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
08/10/2008;08/10/2008;10/10/2008;;C08100001489;141;Pacolla Assessoria e Comunicação Ltda;SP;15;1;Usuário Final (consumo entre 1 a 15 cart./mês);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
09/10/2008;09/10/2008;10/10/2008;;C08100001560;118;DISTRIFILM COMERCIAL LTDA;SP;331;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
09/10/2008;09/10/2008;14/10/2008;;C08100001640;142;JANAINA DE OLIVEIRA - ASSESSORIA   ;SP;150;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
09/10/2008;09/10/2008;14/10/2008;;C08100001802;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;144;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
11/10/2008;13/10/2008;20/10/2008;;C08100001993;145;abba equipamentos de informatica e suprimentos ltda;go;50;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
14/10/2008;14/10/2008;16/10/2008;;C08100002027;102;Voluntarios da Patria;SP;5;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
15/10/2008;16/10/2008;21/10/2008;;C08100002108;148;must eventos e desenvolvimento ltda.;sp;25;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
16/10/2008;16/10/2008;21/10/2008;;C08100002450;150;Hotal Camping Estância Atibainha Ltda.;SP;31;10;Empresas;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
16/10/2008;16/10/2008;23/10/2008;;C08100002531;151;H2L EQUIPAMENTOS SISTEMAS LTDA;MS;56;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
20/10/2008;21/10/2008;23/10/2008;;C08100002884;143;Carmel Comercial Ltda;SP;240;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
21/10/2008;21/10/2008;23/10/2008;;C08100002965;156;Golden Distribuidora LTDA;SP;4;1;Usuário Final (consumo entre 1 a 15 cart./mês);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
21/10/2008;21/10/2008;23/10/2008;;C08100003007;157;Gloria Andreza Moreira ME;SP;15;1;Usuário Final (consumo entre 1 a 15 cart./mês);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
21/10/2008;21/10/2008;23/10/2008;;C08100003180;152;ALLDORA TECNOLOGIA LTDA;SP;78;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
22/10/2008;22/10/2008;24/10/2008;;C08100003503;162;BANCO ABN AMRO REAL S/A ;SP;976;10;Empresas;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
