Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
01/04/2009;;;;C09040000790;176;IRB-BRASIL RESSEGUROS S.A.;SP;87;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
01/04/2009;;;;C09040000870;176;IRB-BRASIL RESSEGUROS S.A.;SP;87;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
01/04/2009;;;;C09040000951;176;IRB-BRASIL RESSEGUROS S.A.;SP;0;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
01/04/2009;;;;C09040001095;176;IRB-BRASIL RESSEGUROS S.A.;SP;87;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Rejeitada
01/04/2009;01/04/2009;08/04/2009;;C09040001176;176;IRB-BRASIL RESSEGUROS S.A.;RJ;87;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
02/04/2009;02/04/2009;08/04/2009;;C09040001257;134;CD STUDIO;SP;25;5;Empresas / Estado de São Paulo;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
03/04/2009;03/04/2009;07/04/2009;;C09040001419;140;Tribunal de Contas do Estado de São Paulo;SP;215;3;Órgãos Públicos e Empresas Estatais;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
03/04/2009;06/04/2009;08/04/2009;;C09040001508;152;ALLDORA TECNOLOGIA LTDA;SP;39;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
06/04/2009;06/04/2009;07/04/2009;;C09040001680;118;DISTRIFILM COMERCIAL LTDA;SP;191;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
07/04/2009;08/04/2009;14/04/2009;;C09040001761;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;84;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
07/04/2009;08/04/2009;14/04/2009;;C09040001842;175;RMTJ IMPRESSOES LTDA;SP;30;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
08/04/2009;08/04/2009;14/04/2009;;C09040001923;147;Carmel Comercial Ltda;SP;101;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
08/04/2009;08/04/2009;14/04/2009;;C09040002067;118;DISTRIFILM COMERCIAL LTDA;SP;66;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
08/04/2009;08/04/2009;14/04/2009;;C09040002148;221;S/A O Estado de São Paulo;SP;50;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
09/04/2009;09/04/2009;22/04/2009;;C09040002490;210;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MG;28;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
13/04/2009;13/04/2009;22/04/2009;;C09040002571;123;Dimex do Triângulo Ltda;MG;50;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
13/04/2009;14/04/2009;16/04/2009;;C09040002652;249;Thymus Consultoria em Identidade de Marca Ltda;SP;11;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
13/04/2009;14/04/2009;17/04/2009;;C09040002733;128;Prefeitura Municipal da Estancia Turistica de Embu ;sp;34;3;Órgãos Públicos e Empresas Estatais;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
14/04/2009;14/04/2009;22/04/2009;;C09040003039;181;INNOVATECH COM.E REPRESENTACAO LTDA;PE;41;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
15/04/2009;16/04/2009;;;C09040003462;123;Dimex do Triângulo Ltda;MG;35;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Aguardando coleta
16/04/2009;16/04/2009;24/04/2009;;C09040003705;192;Computer Now Informática Ltda;DF;103;9;Empresas / Estados do Centro-Oeste;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
16/04/2009;16/04/2009;24/04/2009;;C09040003896;153;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;PR;40;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
16/04/2009;16/04/2009;24/04/2009;;C09040004000;231;PRODUS PRODUTOS E SOLUÇÕES PARA INFORMATICA LTDA;BA;94;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
16/04/2009;16/04/2009;23/04/2009;;C09040004191;250;Klima Equipamentos Ltda;SP;58;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
16/04/2009;16/04/2009;22/04/2009;;C09040004353;148;must eventos e desenvolvimento ltda.;sp;14;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
17/04/2009;17/04/2009;22/04/2009;;C09040004434;194;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;113;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
20/04/2009;20/04/2009;23/04/2009;;C09040004604;251;prodem produtos odontologicos ltda ;SP;28;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
22/04/2009;23/04/2009;28/04/2009;;C09040004787;252;CERVEJARIA PETROPOLIS S/A;SP;39;5;Empresas / Estado de São Paulo;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
23/04/2009;23/04/2009;;;C09040004868;182;Klima Campinas Tecnologia Ltda;SP;108;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
23/04/2009;23/04/2009;27/04/2009;;C09040004949;118;DISTRIFILM COMERCIAL LTDA;SP;115;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
24/04/2009;24/04/2009;30/04/2009;;C09040005325;253;Casa Omnigráfica de Máquinas ltda;SP;10;4;Revendedor;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Em trânsito
26/04/2009;;;;C09040005406;139;OKIDATA DO BRASIL INFORMÁTICA;SP;100;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em espera de Aprovação
26/04/2009;;;;C09040005597;139;OKIDATA DO BRASIL INFORMÁTICA;SP;123;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em espera de Aprovação
27/04/2009;27/04/2009;;;C09040005759;135;SIMPTEC COMÉRCIO DE MÁQUINAS LTDA;SP;64;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
27/04/2009;27/04/2009;;;C09040006054;132;BANCO DO NACIONAL DO DESENVOLVIMENTO ECONOMICO E SOCIAL;RJ;250;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Aguardando coleta
28/04/2009;28/04/2009;;;C09040006216;254;Insituto Ágape de Ensino;SP;18;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
