Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
01/12/2009;01/12/2009;;;C09120000150;130;COMPANHIA DO METROPOLITANO DE SÃO PAULO;SP;100;3;Órgãos Públicos e Empresas Estatais;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/12/2009;01/12/2009;;;C09120000230;134;CD STUDIO;SP;50;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
01/12/2009;03/12/2009;04/12/2009;;C09120000311;278;Converge Promoções Eventos e Editora Ltda;SP;22;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
01/12/2009;01/12/2009;04/12/2009;;C09120000400;196;Unidade Mogiana de Diagnósticos por Imagem LTDA;SP;96;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
01/12/2009;01/12/2009;10/12/2009;;C09120000583;194;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;120;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
01/12/2009;01/12/2009;07/12/2009;;C09120000664;320;V&M do Brasil S/A;MG;43;6;Empresas / Estados RJ; MG e ES;ATLAS LOGÍSTICA LTDA;Em trânsito
02/12/2009;02/12/2009;09/12/2009;;C09120000745;203;Lunes 3 Comércio de Máquinas e Suprimentos Gráficos Ltda;RS;42;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
03/12/2009;03/12/2009;09/12/2009;;C09120001040;181;INNOVATECH COM.E REPRESENTACAO LTDA;PE;54;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
04/12/2009;04/12/2009;;;C09120001121;221;S/A O Estado de São Paulo;SP;50;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
07/12/2009;08/12/2009;15/12/2009;;C09120001202;289;Computer Now Informática Ltda;DF;119;9;Empresas / Estados do Centro-Oeste;ATLAS LOGÍSTICA LTDA;Em trânsito
08/12/2009;08/12/2009;15/12/2009;;C09120001393;203;Lunes 3 Comércio de Máquinas e Suprimentos Gráficos Ltda;RS;18;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
08/12/2009;08/12/2009;;;C09120001474;321;Piratininga Arquitetos Associados Ltda.;SP;28;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
08/12/2009;;;;C09120001555;288;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;PR;22;4;Revendedor;ATLAS LOGÍSTICA LTDA;Rejeitada
08/12/2009;08/12/2009;;;C09120001636;322;Global Village Telecom;SP;22;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Aguardando coleta
08/12/2009;08/12/2009;10/12/2009;;C09120001806;119;BIRD SOLUTION LTDA;SP;118;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
09/12/2009;10/12/2009;15/12/2009;;C09120001989;239;HELIOPRINT LOCADORA DE EQUIPAMENTOS LTDA;SC;75;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
09/12/2009;10/12/2009;15/12/2009;;C09120002012;118;DISTRIFILM COMERCIAL LTDA;SP;93;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
09/12/2009;10/12/2009;15/12/2009;;C09120002101;119;BIRD SOLUTION LTDA;SP;58;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
10/12/2009;10/12/2009;16/12/2009;;C09120002284;323;Rapidão Cometa Logistica e Transporte S/A;AL;50;8;Empresas / Estados do Nordeste;ATLAS LOGÍSTICA LTDA;Em trânsito
11/12/2009;11/12/2009;;;C09120002365;163;cprinter informatica e comercio ltda epp;SP;28;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
14/12/2009;14/12/2009;;;C09120002446;144;IMPORTINVEST IMPORTAÇÃO COMÉRCIO LTDA;SP;100;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
14/12/2009;14/12/2009;18/12/2009;;C09120002608;324;Centro de Imagem Diagnostica S/C Ltda;SP;43;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
14/12/2009;14/12/2009;16/12/2009;;C09120002870;151;H2L EQUIPAMENTOS SISTEMAS LTDA;MS;108;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
15/12/2009;15/12/2009;18/12/2009;;C09120002950;294;AHESE ENGENHARIA LTDA.;SP;18;5;Empresas / Estado de São Paulo;ATLAS LOGÍSTICA LTDA;Em trânsito
16/12/2009;16/12/2009;;;C09120003094;325;FUNDAÇÃO FACULDADE REGIONAL DE MEDICINA DE SÃO JOSÉ DO RIO PRETO;SP;39;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
16/12/2009;16/12/2009;18/12/2009;;C09120003175;119;BIRD SOLUTION LTDA;SP;62;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
16/12/2009;16/12/2009;;;C09120003256;136;BELOCOPY COMERCIO DE EQUIPAMENTOS REPROGRAFICOS LTDA;MG;256;4;Revendedor;ATLAS LOGÍSTICA LTDA;Aguardando coleta
17/12/2009;17/12/2009;21/12/2009;;C09120003337;194;Equipa Máquinas e Utensílios para Escritórios Ltda;SP;95;4;Revendedor;ATLAS LOGÍSTICA LTDA;Em trânsito
