Data Solicitação;Data Aprovação;Data Programada;Data Recebimento;Número Solicitação;Cod. Cliente;Razão Social;UF Cliente;Qtd. Cartuchos;Cód. Categoria;Desc. Categoria;Transportadora;Status
23/12/2008;26/12/2008;06/01/2009;;C08120005609;118;DISTRIFILM COMERCIAL LTDA;SP;95;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Em trânsito
23/12/2008;23/12/2008;;;C08120005790;139;OKIDATA DO BRASIL INFORMÁTICA;SP;33;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
23/12/2008;23/12/2008;;;C08120005870;139;OKIDATA DO BRASIL INFORMÁTICA;SP;20;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Cancelada
05/01/2009;05/01/2009;;;C09010000198;208;triade comercio e industria auto peças ltda;SP;6;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
05/01/2009;08/01/2009;;;C09010000279;176;IRB-BRASIL RESSEGUROS S.A.;RJ;31;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Aguardando coleta
06/01/2009;07/01/2009;;;C09010000430;210;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS;MG;56;3;Órgãos Públicos e Empresas Estatais;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Aguardando coleta
07/01/2009;07/01/2009;;;C09010000511;211;CORPRINT GRAFICA E EDITORA LTDA;SP;41;2;Usuário Final (à partir de 15 cart. a serem coletados);LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
07/01/2009;07/01/2009;;;C09010000600;133;AMC Comunicação S/C Ltda;SP;9;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
08/01/2009;08/01/2009;;;C09010000783;204;zol Design Ltda;SP;11;5;Empresas / Estado de São Paulo;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
13/01/2009;13/01/2009;;;C09010000864;152;ALLDORA TECNOLOGIA LTDA;SP;108;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
13/01/2009;13/01/2009;;;C09010000945;118;DISTRIFILM COMERCIAL LTDA;SP;75;4;Revendedor;LEMAR COMER. E TRANSPORTADORA LTDA EPP  ;Aguardando coleta
13/01/2009;13/01/2009;;;C09010001089;134;CD STUDIO;SP;31;5;Empresas / Estado de São Paulo;DELTA RECORDS COM. SERV. E ARMAZ.LTDA   ;Aguardando coleta
