Número Solicitação;Código Cliente;Razão Social;Pontuação;Cód. Bônus;Desc. Bônus;Moeda do Bônus;Data Geração;Data Expiração
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;429;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;128;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;69;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;30;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;60;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;156;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;152;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;25;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;25;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;50;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110001252;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;46;00003;Pontuação VAR - Sul;P;05/12/2008;03/12/2018
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;96;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;90;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;234;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;234;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;312;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;300;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
C08110002909;102;PREMIER TECNOLOGIA DA INFORMACAO LTDA  ;175;00003;Pontuação VAR - Sul;P;23/01/2009;21/01/2019
